City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
bubaque,0,GW,1554251557,92,11.28,-15.83,81.84,15.68
itarema,80,BR,1554251557,96,-2.92,-39.92,76.89,3.49
kropotkin,36,RU,1554251417,84,45.43,40.58,45,7.74
bluff,0,AU,1554251557,56,-23.58,149.07,77.25,13.44
busselton,0,AU,1554250824,46,-33.64,115.35,66.99,21.94
bam,68,IR,1554251008,43,29.11,58.36,60.33,4.27
luderitz,0,NA,1554251007,90,-26.65,15.16,56.55,5.73
rikitea,0,PF,1554250977,100,-23.12,-134.97,75.63,16.02
diego de almagro,68,CL,1554251558,74,-26.39,-70.05,62.94,2.59
rafai,20,CF,1554251559,78,4.95,23.92,74.19,4.83
tabory,0,PL,1554251470,41,53.89,19.53,43,8.99
taolanaro,0,na,0,0,0,0,0,0
tsihombe,0,na,0,0,0,0,0,0
flinders,0,AU,1554251418,53,-34.58,150.85,73.99,9.17
mikhaylovka,64,RU,1554251560,71,52.96,103.29,33.24,4.5
brigham city,90,US,1554251340,81,41.51,-112.02,50,3.71
bredasdorp,32,ZA,1554251418,77,-34.53,20.04,62.6,10.29
jurado,0,na,0,0,0,0,0,0
cape town,0,ZA,1554251509,67,-33.93,18.42,63,11.41
hilo,90,US,1554251243,94,19.71,-155.08,73,10.29
east london,92,ZA,1554251455,100,-33.02,27.91,68.88,19.71
samarai,44,PG,1554251562,100,-10.62,150.67,82.38,5.61
tiznit,64,MA,1554251562,64,29.7,-9.73,62.76,5.5
port-gentil,90,GA,1554246000,100,-0.72,8.78,75.2,10.29
port alfred,68,ZA,1554251375,91,-33.59,26.89,63,5.01
faanui,76,PF,1554251563,100,-16.48,-151.75,84.9,10.2
lhuntshi,0,na,0,0,0,0,0,0
yellowknife,75,CA,1554251291,56,62.45,-114.38,12.2,16.11
souillac,92,FR,1554251451,87,45.6,-0.6,45,8.05
port lincoln,56,AU,1554251452,83,-34.72,135.86,68.52,7.4
airai,44,TL,1554251564,73,-8.93,125.41,75.54,1.48
pella,1,US,1554251291,43,41.41,-92.92,53.01,5.82
